epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7465,0.85179,2.20362,1.22165,0.77162,0.5589,0.72567,0.56044,0.84122,2.34652,1.24181,0.000410354,0.000410354,0.000410354
2,29.3785,0.89076,1.46576,1.22037,0.81548,0.66897,0.76913,0.55249,1.07705,1.90112,1.59825,0.000799729,0.000799729,0.000799729
3,42.9735,0.98533,1.42219,1.28297,0.61211,0.5741,0.63482,0.42632,1.02264,2.76833,1.43931,0.0011616,0.0011616,0.0011616
4,56.6883,0.93595,1.30937,1.254,0.70205,0.72839,0.78323,0.52345,1.15636,2.15665,1.58357,0.00112625,0.00112625,0.00112625
5,70.403,0.92178,1.20911,1.23648,0.7826,0.73428,0.78904,0.53807,1.18693,1.59066,1.70618,0.001085,0.001085,0.001085
6,83.9548,0.90547,1.12205,1.2379,0.79618,0.70488,0.80576,0.56721,1.04902,1.64864,1.45375,0.00104375,0.00104375,0.00104375
7,97.5958,0.86197,1.07166,1.20769,0.81364,0.72901,0.80735,0.58133,0.98557,1.22128,1.40586,0.0010025,0.0010025,0.0010025
8,111.12,0.86775,1.01834,1.19909,0.85618,0.79709,0.87067,0.65137,1.04999,1.18647,1.46099,0.00096125,0.00096125,0.00096125
9,124.491,0.83729,0.96649,1.196,0.85419,0.77502,0.88674,0.66503,0.9792,1.01607,1.37271,0.00092,0.00092,0.00092
10,137.934,0.83239,0.9191,1.18907,0.88499,0.80702,0.89409,0.69434,0.79741,0.90155,1.18668,0.00087875,0.00087875,0.00087875
11,151.482,0.80023,0.88432,1.16887,0.8938,0.73741,0.89031,0.69574,0.90352,1.12457,1.21449,0.0008375,0.0008375,0.0008375
12,164.94,0.78861,0.86014,1.16162,0.82664,0.81062,0.8668,0.66054,0.87641,1.08784,1.24206,0.00079625,0.00079625,0.00079625
13,178.422,0.77048,0.82701,1.13743,0.92094,0.76761,0.90737,0.695,0.95757,1.0596,1.4217,0.000755,0.000755,0.000755
14,191.845,0.74252,0.7617,1.13113,0.8653,0.83001,0.91408,0.70151,0.97782,0.92216,1.4019,0.00071375,0.00071375,0.00071375
15,205.454,0.73733,0.73811,1.12294,0.88513,0.81133,0.90511,0.71099,0.8038,0.7628,1.21799,0.0006725,0.0006725,0.0006725
16,219.312,0.71925,0.71339,1.11024,0.88004,0.82195,0.9088,0.71637,0.94572,0.7424,1.33017,0.00063125,0.00063125,0.00063125
17,232.998,0.74171,0.71045,1.11973,0.92979,0.80957,0.9194,0.74224,0.92999,0.73002,1.34687,0.00059,0.00059,0.00059
18,246.632,0.70246,0.67941,1.0991,0.91779,0.8714,0.93767,0.74974,0.91944,0.67173,1.32074,0.00054875,0.00054875,0.00054875
19,261.344,0.70323,0.68094,1.10914,0.90599,0.83737,0.91613,0.7307,0.92005,0.72219,1.31812,0.0005075,0.0005075,0.0005075
20,274.876,0.68553,0.65995,1.08741,0.90954,0.83846,0.92134,0.73703,0.78135,0.7043,1.22572,0.00046625,0.00046625,0.00046625
21,290.493,0.61704,0.60279,1.04782,0.90735,0.88248,0.93628,0.74923,0.76661,0.66676,1.1856,0.000425,0.000425,0.000425
22,303.774,0.58776,0.53816,1.02525,0.92726,0.85483,0.93916,0.75339,0.86165,0.74171,1.27337,0.00038375,0.00038375,0.00038375
23,317.175,0.56622,0.50083,1.00932,0.94185,0.86229,0.94758,0.76571,0.85339,0.75634,1.27257,0.0003425,0.0003425,0.0003425
24,330.68,0.54773,0.47511,0.99625,0.92456,0.8803,0.94372,0.76604,0.90885,0.66498,1.33902,0.00030125,0.00030125,0.00030125
25,344.121,0.54955,0.4606,0.99805,0.94405,0.87657,0.94617,0.76379,0.86816,0.65385,1.27279,0.00026,0.00026,0.00026
26,357.455,0.52677,0.43539,0.98574,0.95681,0.87989,0.94843,0.76704,0.85053,0.61223,1.27493,0.00021875,0.00021875,0.00021875
27,370.709,0.51303,0.42433,0.97411,0.93747,0.90306,0.94961,0.77574,0.7614,0.55738,1.22235,0.0001775,0.0001775,0.0001775
28,384.031,0.50568,0.40607,0.97003,0.9588,0.86281,0.93975,0.77112,0.77208,0.60561,1.26009,0.00013625,0.00013625,0.00013625
29,397.369,0.48873,0.39251,0.95475,0.9587,0.87881,0.94828,0.77912,0.78014,0.55557,1.236,9.5e-05,9.5e-05,9.5e-05
30,410.774,0.47505,0.38359,0.94556,0.95337,0.89138,0.94717,0.77601,0.78066,0.56707,1.24946,5.375e-05,5.375e-05,5.375e-05
